model,subj,a_0,b_0,p_0,h_0,a_opt,b_opt,p_opt,h_opt,nll
flat-history,1,0.25,0.1,NA,NA,1.0,0.041191343693440734,NA,NA,162.14360169267877
flat-history,1,0.25,1.0,NA,NA,1.0,0.04119134511121615,NA,NA,162.14360169267914
flat-history,1,0.5,0.1,NA,NA,1.0,0.041191346796783546,NA,NA,162.14360169267871
flat-history,1,0.5,1.0,NA,NA,1.0,0.041191344227906095,NA,NA,162.14360169267943
flat-history,1,0.75,0.1,NA,NA,1.0,0.04119134278608106,NA,NA,162.14360169267934
flat-history,1,0.75,1.0,NA,NA,1.0,0.04119135159396144,NA,NA,162.14360169267883
flat-history,2,0.25,0.1,NA,NA,1.0,0.08700222346692069,NA,NA,273.59001499889627
flat-history,2,0.25,1.0,NA,NA,1.0,0.08700224731112147,NA,NA,273.5900149988846
flat-history,2,0.5,0.1,NA,NA,1.0,0.08700224757458684,NA,NA,273.5900149988843
flat-history,2,0.5,1.0,NA,NA,1.0,0.0870022475481205,NA,NA,273.59001499888416
flat-history,2,0.75,0.1,NA,NA,1.0,0.08700224987083761,NA,NA,273.59001499888427
flat-history,2,0.75,1.0,NA,NA,1.0,0.08700224708277317,NA,NA,273.59001499888467
flat-history,3,0.25,0.1,NA,NA,0.9934916566100581,0.10975474455483811,NA,NA,308.58352483930025
flat-history,3,0.25,1.0,NA,NA,0.993490863173075,0.10975483305279672,NA,NA,308.58352483912427
flat-history,3,0.5,0.1,NA,NA,0.9934907318605547,0.10975486736808229,NA,NA,308.58352483913643
flat-history,3,0.5,1.0,NA,NA,0.9934923057413823,0.10975486524453737,NA,NA,308.5835248393137
flat-history,3,0.75,0.1,NA,NA,0.9934908944694645,0.1097548357168266,NA,NA,308.58352483912404
flat-history,3,0.75,1.0,NA,NA,0.9934964163165799,0.10975499459356589,NA,NA,308.5835248420387
flat-history,4,0.25,0.1,NA,NA,1.0,0.067312522732326,NA,NA,219.14499007507848
flat-history,4,0.25,1.0,NA,NA,1.0,0.06731252277906474,NA,NA,219.14499007507857
flat-history,4,0.5,0.1,NA,NA,1.0,0.06731252316365958,NA,NA,219.14499007507874
flat-history,4,0.5,1.0,NA,NA,1.0,0.06731252360531115,NA,NA,219.14499007507814
flat-history,4,0.75,0.1,NA,NA,1.0,0.06731252314498812,NA,NA,219.1449900750783
flat-history,4,0.75,1.0,NA,NA,1.0,0.06731254093452273,NA,NA,219.14499007508041
flat-history,5,0.25,0.1,NA,NA,1.0,0.11242942584774138,NA,NA,313.90336849232284
flat-history,5,0.25,1.0,NA,NA,1.0,0.11242943190141537,NA,NA,313.903368492322
flat-history,5,0.5,0.1,NA,NA,1.0,0.11242943108924192,NA,NA,313.9033684923224
flat-history,5,0.5,1.0,NA,NA,1.0,0.11242943027896489,NA,NA,313.9033684923221
flat-history,5,0.75,0.1,NA,NA,1.0,0.11242942985286611,NA,NA,313.9033684923226
flat-history,5,0.75,1.0,NA,NA,1.0,0.11242942238386584,NA,NA,313.90336849232375
flat-history,6,0.25,0.1,NA,NA,1.0,0.051466138975790755,NA,NA,184.0852222416147
flat-history,6,0.25,1.0,NA,NA,1.0,0.05146613860753447,NA,NA,184.08522224161516
flat-history,6,0.5,0.1,NA,NA,1.0,0.05146613821011719,NA,NA,184.08522224161496
flat-history,6,0.5,1.0,NA,NA,1.0,0.05146613843997171,NA,NA,184.08522224161482
flat-history,6,0.75,0.1,NA,NA,1.0,0.051466134018326434,NA,NA,184.08522224161672
flat-history,6,0.75,1.0,NA,NA,1.0,0.05146613792329138,NA,NA,184.08522224161496
flat-history,7,0.25,0.1,NA,NA,1.0,0.18179722599606948,NA,NA,497.45074247329586
flat-history,7,0.25,1.0,NA,NA,1.0,0.18179721794704912,NA,NA,497.45074247329603
flat-history,7,0.5,0.1,NA,NA,1.0,0.18179725822411405,NA,NA,497.45074247329825
flat-history,7,0.5,1.0,NA,NA,1.0,0.1817972028081336,NA,NA,497.4507424732975
flat-history,7,0.75,0.1,NA,NA,1.0,0.18179723985678584,NA,NA,497.45074247329524
flat-history,7,0.75,1.0,NA,NA,1.0,0.18179721923823405,NA,NA,497.45074247329575
flat-history,8,0.25,0.1,NA,NA,1.0,0.01,NA,NA,131.81824168221993
flat-history,8,0.25,1.0,NA,NA,1.0,0.01,NA,NA,131.81824168221993
flat-history,8,0.5,0.1,NA,NA,1.0,0.01,NA,NA,131.81824168221993
flat-history,8,0.5,1.0,NA,NA,1.0,0.01,NA,NA,131.81824168221993
flat-history,8,0.75,0.1,NA,NA,1.0,0.01,NA,NA,131.81824168221993
flat-history,8,0.75,1.0,NA,NA,1.0,0.01,NA,NA,131.81824168221993
flat-history,9,0.25,0.1,NA,NA,1.0,0.04252034266383533,NA,NA,154.56794876703188
flat-history,9,0.25,1.0,NA,NA,1.0,0.042520348301271695,NA,NA,154.5679487670302
flat-history,9,0.5,0.1,NA,NA,1.0,0.042520347720450026,NA,NA,154.56794876703012
flat-history,9,0.5,1.0,NA,NA,1.0,0.04252034932803032,NA,NA,154.5679487670301
flat-history,9,0.75,0.1,NA,NA,1.0,0.042520349383440736,NA,NA,154.56794876703052
flat-history,9,0.75,1.0,NA,NA,1.0,0.04252034849974353,NA,NA,154.56794876703023
flat-history,10,0.25,0.1,NA,NA,0.8312476081748285,0.11762127387134753,NA,NA,370.6595898627326
flat-history,10,0.25,1.0,NA,NA,0.8312476500222198,0.1176212849389687,NA,NA,370.6595898627331
flat-history,10,0.5,0.1,NA,NA,0.8312478167716574,0.11762129680873945,NA,NA,370.65958986274035
flat-history,10,0.5,1.0,NA,NA,0.8312474530209775,0.11762121217038593,NA,NA,370.65958986276434
flat-history,10,0.75,0.1,NA,NA,0.8312481792744105,0.11762142408023195,NA,NA,370.659589862895
flat-history,10,0.75,1.0,NA,NA,0.8312475395218069,0.11762127020361193,NA,NA,370.659589862733
flat-history,11,0.25,0.1,NA,NA,0.8726500835008121,0.0725073865040416,NA,NA,265.12774728478144
flat-history,11,0.25,1.0,NA,NA,0.8818796928717786,0.07280407871866393,NA,NA,265.1229767241484
flat-history,11,0.5,0.1,NA,NA,0.8726503088484074,0.07250758652254913,NA,NA,265.1277472856233
flat-history,11,0.5,1.0,NA,NA,0.8818797649006328,0.07280403250638584,NA,NA,265.1229767242007
flat-history,11,0.75,0.1,NA,NA,0.8726492655949271,0.07250733189686295,NA,NA,265.1277472847076
flat-history,11,0.75,1.0,NA,NA,0.8818799835835144,0.07280393852587115,NA,NA,265.12297672458936
flat-history,12,0.25,0.1,NA,NA,0.9941373073580919,0.07971652543386566,NA,NA,264.9473131952799
flat-history,12,0.25,1.0,NA,NA,0.9941380386062666,0.07971659235914706,NA,NA,264.94731319534037
flat-history,12,0.5,0.1,NA,NA,0.9941380822904309,0.07971657215360581,NA,NA,264.9473131953224
flat-history,12,0.5,1.0,NA,NA,0.9941378756255879,0.0797165653534843,NA,NA,264.947313195304
flat-history,12,0.75,0.1,NA,NA,0.9941374519061874,0.07971652792590388,NA,NA,264.9473131952801
flat-history,12,0.75,1.0,NA,NA,0.9941424007884385,0.07971661361736175,NA,NA,264.947313197029
simple-hierarchical,1,0.25,0.1,0.05,NA,0.07950438442311888,0.02192787657866646,0.05,NA,110.14350697210077
simple-hierarchical,1,0.25,1.0,0.05,NA,0.03625893461902379,0.01,0.05,NA,110.09932995079676
simple-hierarchical,1,0.5,0.1,0.05,NA,0.036258938476744204,0.01,0.05,NA,110.09932995079573
simple-hierarchical,1,0.5,1.0,0.05,NA,0.05854243129663127,0.01613886741473263,0.05,NA,110.12099182546825
simple-hierarchical,1,0.75,0.1,0.05,NA,0.03625893583881706,0.01,0.05,NA,110.09932995079636
simple-hierarchical,1,0.75,1.0,0.05,NA,0.03625893630177853,0.01,0.05,NA,110.09932995079612
simple-hierarchical,2,0.25,0.1,0.05,NA,0.4731130743942619,0.15081048186922866,0.05,NA,184.536538461799
simple-hierarchical,2,0.25,1.0,0.05,NA,0.4731129763095912,0.1508104687339778,0.05,NA,184.5365384617989
simple-hierarchical,2,0.5,0.1,0.05,NA,0.4731121616470791,0.15081040479133112,0.05,NA,184.5365384618451
simple-hierarchical,2,0.5,1.0,0.05,NA,0.47311212855624807,0.15081027176674172,0.05,NA,184.53653846184844
simple-hierarchical,2,0.75,0.1,0.05,NA,0.4731184771780353,0.150810564592198,0.05,NA,184.53653846557623
simple-hierarchical,2,0.75,1.0,0.05,NA,0.47311313094242197,0.15081052498713027,0.05,NA,184.53653846180268
simple-hierarchical,3,0.25,0.1,0.05,NA,0.49331110128675254,0.14617142299868474,0.05,NA,193.95103065128575
simple-hierarchical,3,0.25,1.0,0.05,NA,0.49331170479272873,0.14617152757302276,0.05,NA,193.9510306512995
simple-hierarchical,3,0.5,0.1,0.05,NA,0.4933015941425948,0.1461706019184497,0.05,NA,193.95103065766116
simple-hierarchical,3,0.5,1.0,0.05,NA,0.49331118943679153,0.14617144333614562,0.05,NA,193.95103065128563
simple-hierarchical,3,0.75,0.1,0.05,NA,0.493311047920827,0.1461714163471533,0.05,NA,193.95103065128615
simple-hierarchical,3,0.75,1.0,0.05,NA,0.49331130859717925,0.1461714422370411,0.05,NA,193.95103065128842
simple-hierarchical,4,0.25,0.1,0.05,NA,0.44818211282776727,0.1165394957247284,0.05,NA,141.4478806422973
simple-hierarchical,4,0.25,1.0,0.05,NA,0.4481849882502832,0.11654041857643191,0.05,NA,141.44788064152044
simple-hierarchical,4,0.5,0.1,0.05,NA,0.4481848300357138,0.11654038369854178,0.05,NA,141.44788064152274
simple-hierarchical,4,0.5,1.0,0.05,NA,0.44818482849127794,0.11654039046233512,0.05,NA,141.44788064152226
simple-hierarchical,4,0.75,0.1,0.05,NA,0.4481858915684933,0.11654048232800786,0.05,NA,141.4478806415721
simple-hierarchical,4,0.75,1.0,0.05,NA,0.4481844838370252,0.11654032502994914,0.05,NA,141.44788064153056
simple-hierarchical,5,0.25,0.1,0.05,NA,0.5440347155543733,0.20240254124243662,0.05,NA,284.79337701731674
simple-hierarchical,5,0.25,1.0,0.05,NA,0.544032692319747,0.2024024479845809,0.05,NA,284.79337701659574
simple-hierarchical,5,0.5,0.1,0.05,NA,0.5440329309619243,0.20240241047438068,0.05,NA,284.7933770166225
simple-hierarchical,5,0.5,1.0,0.05,NA,0.5440342852093859,0.20240260937523202,0.05,NA,284.7933770169976
simple-hierarchical,5,0.75,0.1,0.05,NA,0.5440327017671766,0.20240245687871056,0.05,NA,284.79337701659614
simple-hierarchical,5,0.75,1.0,0.05,NA,0.5440326405694886,0.20240244001282945,0.05,NA,284.793377016597
simple-hierarchical,6,0.25,0.1,0.05,NA,0.3704912456936439,0.08300884371852474,0.05,NA,110.6932335022271
simple-hierarchical,6,0.25,1.0,0.05,NA,0.3704920786005836,0.08300899819318888,0.05,NA,110.69323350221724
simple-hierarchical,6,0.5,0.1,0.05,NA,0.37049653103742275,0.08301025368042217,0.05,NA,110.69323350271588
simple-hierarchical,6,0.5,1.0,0.05,NA,0.3704869636116878,0.08300822731926477,0.05,NA,110.69323350266572
simple-hierarchical,6,0.75,0.1,0.05,NA,0.37049599536154054,0.0830098194496364,0.05,NA,110.6932335022995
simple-hierarchical,6,0.75,1.0,0.05,NA,0.3704927337689869,0.08300909285644717,0.05,NA,110.69323350221681
simple-hierarchical,7,0.25,0.1,0.05,NA,0.5707892413669442,0.21687147739100734,0.05,NA,412.10451921515096
simple-hierarchical,7,0.25,1.0,0.05,NA,0.570784313217031,0.21686618698796284,0.05,NA,412.10451930744364
simple-hierarchical,7,0.5,0.1,0.05,NA,0.5707896507254652,0.21687201835341266,0.05,NA,412.1045192142749
simple-hierarchical,7,0.5,1.0,0.05,NA,0.5707596952607894,0.2168689839695289,0.05,NA,412.10451948976765
