model,subj,a_0,b_0,p_0,h_0,a_opt,b_opt,p_opt,h_opt,nll
hierarchical,1,0.25,0.1,0.0,NA,0.24661570951664202,0.07594227747890252,0.01,NA,110.30629987984297
hierarchical,1,0.25,1.0,0.0,NA,0.24661584448682392,0.0759423102433619,0.01,NA,110.30629987984113
hierarchical,1,0.5,0.1,0.0,NA,0.24662099308341903,0.07594381249001987,0.01,NA,110.30629988118582
hierarchical,1,0.5,1.0,0.0,NA,0.2466157190337503,0.07594225435669971,0.01,NA,110.30629987985192
hierarchical,1,0.75,0.1,0.0,NA,0.8217588327977309,0.15570534228943625,0.01,NA,149.62169383281514
hierarchical,1,0.75,1.0,0.0,NA,0.8217588272274827,0.15584525601658225,0.01,NA,149.62164065374063
hierarchical,2,0.25,0.1,0.0,NA,1.0,0.01,0.01,NA,73.45676040096355
hierarchical,2,0.25,1.0,0.0,NA,1.0,0.01,0.01,NA,73.45676040096355
hierarchical,2,0.5,0.1,0.0,NA,1.0,0.01,0.01,NA,73.45676040096355
hierarchical,2,0.5,1.0,0.0,NA,1.0,0.01,0.01,NA,73.45676040096355
hierarchical,2,0.75,0.1,0.0,NA,1.0,0.01,0.01,NA,73.45676040096355
hierarchical,2,0.75,1.0,0.0,NA,1.0,0.01,0.01,NA,73.45676040096355
abstract-hierarchical,1,0.25,0.1,0.0,NA,1.0,0.01,0.01,NA,32.832761809303086
abstract-hierarchical,1,0.25,1.0,0.0,NA,1.0,0.01,0.01,NA,32.832761809303086
abstract-hierarchical,1,0.5,0.1,0.0,NA,1.0,0.01,0.01,NA,32.832761809303086
abstract-hierarchical,1,0.5,1.0,0.0,NA,1.0,0.01,0.01,NA,32.832761809303086
abstract-hierarchical,1,0.75,0.1,0.0,NA,0.9939094259898426,0.01,0.01,NA,32.832761809303086
abstract-hierarchical,1,0.75,1.0,0.0,NA,1.0,0.01,0.01,NA,32.832761809303086
abstract-hierarchical,2,0.25,0.1,0.0,NA,1.0,0.01,0.01,NA,31.867929567366954
abstract-hierarchical,2,0.25,1.0,0.0,NA,1.0,0.01,0.01,NA,31.867929567366954
abstract-hierarchical,2,0.5,0.1,0.0,NA,1.0,0.01,0.01,NA,31.867929567366954
abstract-hierarchical,2,0.5,1.0,0.0,NA,1.0,0.01,0.01,NA,31.867929567366954
abstract-hierarchical,2,0.75,0.1,0.0,NA,0.9654365574824587,0.01,0.01,NA,31.867929567366954
abstract-hierarchical,2,0.75,1.0,0.0,NA,1.0,0.01,0.01,NA,31.867929567366954
