model,subj,a_0,b_0,p_0,h_0,a_opt,b_opt,p_opt,h_opt,nll
flat-history,1,0.25,0.1,NA,NA,0.8531645877968593,0.06200571764076147,NA,NA,279.5707854211419
flat-history,1,0.25,1.0,NA,NA,0.8531622020113551,0.062005506183269804,NA,NA,279.57078542032656
flat-history,1,0.5,0.1,NA,NA,0.8531621761520634,0.062005505640190715,NA,NA,279.5707854203266
flat-history,1,0.5,1.0,NA,NA,0.853162839015461,0.062005536163321315,NA,NA,279.5707854203522
flat-history,1,0.75,0.1,NA,NA,0.8531628714256093,0.062005517041955886,NA,NA,279.57078542036163
flat-history,1,0.75,1.0,NA,NA,0.8531623116473896,0.0620055115293714,NA,NA,279.5707854203263
flat-history,2,0.25,0.1,NA,NA,0.9902268289469716,0.10234246703853431,NA,NA,465.17104123012916
flat-history,2,0.25,1.0,NA,NA,0.9902247859187242,0.10234236526252408,NA,NA,465.171041229749
flat-history,2,0.5,0.1,NA,NA,0.9902274036243158,0.10234220575079434,NA,NA,465.17104123075427
flat-history,2,0.5,1.0,NA,NA,0.9902253688002186,0.10234236687760259,NA,NA,465.171041229778
flat-history,2,0.75,0.1,NA,NA,0.9902310234007485,0.10234264566521273,NA,NA,465.1710412327952
flat-history,2,0.75,1.0,NA,NA,0.9902249920414967,0.10234228826773745,NA,NA,465.1710412298113
flat-history,3,0.25,0.1,NA,NA,0.7222506692396155,0.15964448051673488,NA,NA,723.8684685871658
flat-history,3,0.25,1.0,NA,NA,0.7222498923602719,0.15964485793921593,NA,NA,723.8684685884607
flat-history,3,0.5,0.1,NA,NA,0.7222567069772335,0.1596439007214564,NA,NA,723.8684685989487
flat-history,3,0.5,1.0,NA,NA,0.7222503788853535,0.15964449350642018,NA,NA,723.8684685871751
flat-history,3,0.75,0.1,NA,NA,0.7222502599646793,0.15964450712505793,NA,NA,723.8684685871943
flat-history,3,0.75,1.0,NA,NA,0.722249672514103,0.15964416660579547,NA,NA,723.8684685878042
flat-history,4,0.25,0.1,NA,NA,0.7940586267421403,0.08415252192138464,NA,NA,381.78889405794223
flat-history,4,0.25,1.0,NA,NA,0.7940583435794429,0.08415250007777082,NA,NA,381.7888940579205
flat-history,4,0.5,0.1,NA,NA,0.794057245911146,0.0841524901356322,NA,NA,381.78889405801186
flat-history,4,0.5,1.0,NA,NA,0.7940579754994879,0.08415249193437094,NA,NA,381.78889405791347
flat-history,4,0.75,0.1,NA,NA,0.7940572301070186,0.08415250865341452,NA,NA,381.7888940580358
flat-history,4,0.75,1.0,NA,NA,0.7940586423016253,0.08415250640311599,NA,NA,381.7888940579521
flat-history,5,0.25,0.1,NA,NA,0.8054629480151462,0.14929766201209002,NA,NA,608.1210819893101
flat-history,5,0.25,1.0,NA,NA,0.8054628765781409,0.14929749598506942,NA,NA,608.1210819895233
flat-history,5,0.5,0.1,NA,NA,0.8054630718387725,0.149297661267203,NA,NA,608.1210819893155
flat-history,5,0.5,1.0,NA,NA,0.8054629826462614,0.1492976375611949,NA,NA,608.1210819893165
flat-history,5,0.75,0.1,NA,NA,0.8054630041329758,0.1492976580937437,NA,NA,608.1210819893122
flat-history,5,0.75,1.0,NA,NA,0.8054630176059474,0.14929771186953825,NA,NA,608.1210819893292
flat-history,6,0.25,0.1,NA,NA,0.7657045085028699,0.06804631561605325,NA,NA,339.8745002659426
flat-history,6,0.25,1.0,NA,NA,0.7657044900808765,0.06804631118450873,NA,NA,339.87450026594377
flat-history,6,0.5,0.1,NA,NA,0.7657062262737342,0.0680465375942067,NA,NA,339.8745002667386
flat-history,6,0.5,1.0,NA,NA,0.7657044528832239,0.06804628184989903,NA,NA,339.87450026596963
flat-history,6,0.75,0.1,NA,NA,0.7657045883855106,0.06804629486388196,NA,NA,339.87450026595695
flat-history,6,0.75,1.0,NA,NA,0.7657046493014982,0.06804632088203243,NA,NA,339.8745002659414
flat-history,7,0.25,0.1,NA,NA,0.9631992788086595,0.18294035373247886,NA,NA,889.4224542994684
flat-history,7,0.25,1.0,NA,NA,0.963199385825163,0.18294035648247586,NA,NA,889.4224542994658
flat-history,7,0.5,0.1,NA,NA,0.9631992675086851,0.1829403555453377,NA,NA,889.4224542994689
flat-history,7,0.5,1.0,NA,NA,0.9631991951978507,0.18294032352206893,NA,NA,889.4224542994804
flat-history,7,0.75,0.1,NA,NA,0.9631992404285727,0.18294035021832358,NA,NA,889.422454299471
flat-history,7,0.75,1.0,NA,NA,0.9632011476912334,0.18294050869167783,NA,NA,889.4224543000822
flat-history,8,0.25,0.1,NA,NA,0.8486217108556647,0.09069640562489845,NA,NA,424.046622230491
flat-history,8,0.25,1.0,NA,NA,0.8486209375863069,0.09069618703331445,NA,NA,424.04662222989157
flat-history,8,0.5,0.1,NA,NA,0.8486212497441227,0.09069619310012296,NA,NA,424.0466222298715
flat-history,8,0.5,1.0,NA,NA,0.8486202626399516,0.0906962553896837,NA,NA,424.04662223018823
flat-history,8,0.75,0.1,NA,NA,0.8486211854642358,0.0906962279337237,NA,NA,424.04662222989344
flat-history,8,0.75,1.0,NA,NA,0.848620788128504,0.09069622507210902,NA,NA,424.0466222299476
flat-history,9,0.25,0.1,NA,NA,0.8622511680298554,0.050776239577394355,NA,NA,251.27267502042412
